Ac	Abcoude
Hrlw	Heerlen Woonboulevard
Hrn	Haren
Hrt	Horst-Sevenum
Ht	's-Hertogenbosch
Htn	Houten
Htnc	Houten Castellum
Hto	's-Hertogenbosch Oost
Hvl	Hoevelaken
Hvs	Hilversum
Hvsm	Hilversum Media Park
Hvsp	Hilversum Sportpark
Hwd	Heerhugowaard
Hwzb	Halfweg-Zwanenburg
Hze	Heeze
IJt	IJlst
Kbd	Krabbendijke
Kbk	Klarenbeek
Kbw	Koog Bloemwijk
Klp	Veenendaal-De Klomp
Kma	Krommenie-Assendelft
Kmr	Klimmen-Ransdaal
Kmw	Koudum-Molkwerum
Kpn	Kampen
Kpnz	Kampen Zuid
Krd	Kerkrade Centrum
Krg	Kruiningen-Yerseke
Ktr	Kesteren
Kw	Kropswolde
Kzd	Koog-Zaandijk
Laa	Den Haag Laan v NOI
Lc	Lochem
Ldl	Leiden Lammenschans
Ldm	Leerdam
Ledn	Leiden Centraal
Lg	Landgraaf
Lls	Lelystad Centrum
Lp	Loppersum
Ltn	Lunteren
Ltv	Lichtenvoorde-Groenlo
Lut	Geleen-Lutterade
Lw	Leeuwarden
Lwc	Leeuwarden Camminghaburen
Mas	Maarssen
Mdb	Middelburg
Mes	Meerssen
Mg	Mantgum
Mmlh	Mook Molenhoek
Mp	Meppel
Mrb	Mariënberg
Mrn	Maarn
Mss	Maassluis
Msw	Maassluis West
Mt	Maastricht
Mth	Martenshoek
Mtn	Maastricht Noord
Mtr	Maastricht Randwyck
Mz	Maarheeze
Na	Nieuw Amsterdam
Ndb	Naarden-Bussum
Nh	Nuth
Nkk	Nijkerk
Nm	Nijmegen
Nmd	Nijmegen Dukenburg
Nmh	Nijmegen Heyendaal
Nml	Nijmegen Lent
Ns	Nunspeet
Nsch	Bad Nieuweschans
Nvd	Nijverdal
Nvp	Nieuw Vennep
Nwk	Nieuwerkerk a/d IJssel
Nwl	Schiedam Nieuwland
O	Oss
Obd	Obdam
Odb	Oudenbosch
Odz	Oldenzaal
Omn	Ommen
Op	Opheusden
Ost	Olst
Ot	Oisterwijk
Otb	Oosterbeek
Ovn	Overveen
Ow	Oss West
Pmo	Purmerend Overwhere
Pmr	Purmerend
Pmw	Purmerend Weidevenne
Pt	Putten
Rai	Amsterdam RAI
Rat	Raalte
Rb	Rilland-Bath
Rd	Roodeschool
Rh	Rheden
Rhn	Rhenen
Rl	Ruurlo
Rlb	Rotterdam Lombardijen
Rm	Roermond
Rs	Rosmalen
Rsd	Roosendaal
Rsn	Rijssen
Rsw	Rijswijk
Rta	Rotterdam Alexander
Rtb	Rotterdam Blaak
Rtd	Rotterdam Centraal
Rtn	Rotterdam Noord
Rtz	Rotterdam Zuid
Rv	Reuver
Rvs	Ravenstein
Sbk	Spaubeek
Sd	Soestdijk
Sda	Scheemda
Sdm	Schiedam Centrum
Sdt	Sliedrecht
Sdtb	Sliedrecht Baanhoek
Sgl	Houthem-Sint Gerlach
Sgn	Schagen
Shl	Schiphol
Sk	Sneek
Sknd	Sneek Noord
Sm	Swalmen
Sn	Schinnen
Sog	Schin op Geul
Spm	Sappemeer Oost
Sptn	Santpoort Noord
Sptz	Santpoort Zuid
Srn	Susteren
Ssh	Sassenheim
St	Soest
Std	Sittard
Stm	Stedum
Stv	Stavoren
Stz	Soest Zuid
Swd	Sauwerd
Swk	Steenwijk
Tb	Tilburg
Tbg	Terborg
Tbr	Tilburg Reeshof
Tbu	Tilburg Universiteit
Tg	Tegelen
Tl	Tiel
Tpsw	Tiel Passewaaij
Twl	Twello
Uhm	Uithuizermeeden
Uhz	Uithuizen
Ust	Usquert
Ut	Utrecht Centraal
Utg	Uitgeest
Utl	Utrecht Lunetten
Utlr	Utrecht Leidsche Rijn
Utm	Utrecht Maliebaan
Uto	Utrecht Overvecht
Utt	Utrecht Terwijde
Utzl	Utrecht Zuilen
Vb	Voorburg
Vd	Vorden
Vdg	Vlaardingen Centrum
Vdl	Voerendaal
Vdm	Veendam
Vdo	Vlaardingen Oost
Vdw	Vlaardingen West
Vem	Voorst-Empe
Vg	Vught
Vh	Voorhout
Vhp	Vroomshoop
Vk	Valkenburg
Vl	Venlo
Vlb	Vierlingsbeek
Vndc	Veenendaal Centrum
Vndw	Veenendaal West
Vp	Velp
Vry	Venray
Vs	Vlissingen
Vss	Vlissingen Souburg
Vst	Voorschoten
Vsv	Varsseveld
Vtn	Vleuten
Vwd	Veenwouden
Vz	Vriezenveen
Wad	Waddinxveen
Wadn	Waddinxveen Noord
Wc	Wijchen
Wd	Woerden
Wdn	Wierden
Wf	Wolfheze
Wfm	Warffum
Wh	Wijhe
Wk	Workum
Wl	Wehl
Wm	Wormerveer
Wp	Weesp
Ws	Winschoten
Wsm	Winsum
Wt	Weert
Wtv	Westervoort
Wv	Wolvega
Ww	Winterswijk
Www	Winterswijk West
Wz	Wezep
Ypb	Den Haag Ypenburg
Za	Zetten-Andelst
Zb	Zuidbroek
Zbm	Zaltbommel
Zd	Zaandam
Zdk	Zaandam Kogerveld
Zh	Zuidhorn
Zl	Zwolle
Zlw	Lage Zwaluwe
Zp	Zutphen
Ztm	Zoetermeer
Ztmo	Zoetermeer Oost
Zv	Zevenaar
Zvb	Zevenbergen
Zvt	Zandvoort aan Zee
Zwd	Zwijndrecht
Zww	Zwaagwesteinde
